# RA, Dec, R, G, B, relative apparent brightness, Vmag, BV, parallax
162.40620179, -16.19364835, 0.9999999999999993, 0.7511496446739061, 0.48912927110746307, 14.321878992735439, 3.11, 1.232, 23.54
163.32793791, 34.21487112, 0.9999999999999116, 0.7998930578576934, 0.5865985069745893, 7.655966069112563, 3.79, 1.04, 33.4
163.37356736, -58.8531708, 0.9999999999988849, 0.8248138831039463, 0.6429622252792454, 7.726805850957025, 3.78, 0.945, 33.71
165.46031999, 56.38242679, 0.6427228281011738, 0.7171205728696888, 1.0, 29.10717118066605, 2.34, 0.033, 41.07
165.93195289, 61.7510332, 0.9999999999999987, 0.7941081236058505, 0.5752137302528302, 47.42419852602443, 1.81, 1.061, 26.38
167.14745809, -58.9750369, 0.9999999999999994, 0.7529003553091966, 0.49233127840306273, 6.729766562843177, 3.93, 1.225, 0.55
167.41586845, 44.49848682, 0.9999999999999969, 0.7725764063540435, 0.5322759803569792, 15.848931924611133, 3.0, 1.144, 22.21
168.52708898, 20.52371682, 0.7055295024171377, 0.7629087876915535, 0.9999999999782011, 23.76840286624876, 2.56, 0.128, 56.52
168.56002157, 15.42957019, 0.619755894198011, 0.7002781646158363, 1.0, 11.694993910198711, 3.33, -0.003, 18.36
169.61973665, 33.09430567, 1.0, 0.7110100402907483, 0.41688714178402114, 10.092528860766844, 3.49, 1.4, 7.74
169.83519815, -14.7785414, 0.9999999999999962, 0.7806743843450454, 0.5483716504617102, 9.462371613657929, 3.56, 1.112, 16.75
170.25169486, -54.4910193, 0.55, 0.647, 1.0, 6.918309709189366, 3.9, -0.157, 10.15
170.9810513, 10.52950862, 0.9411139050645784, 0.9227614930670823, 1.0, 6.309573444801933, 4.0, 0.423, 41.26
172.8509187, 69.33107594, 1.0, 0.6647018578005894, 0.3422161887781036, 7.447319739059893, 3.82, 1.613, 9.76
173.25048102, -31.85762516, 0.9999999999987633, 0.8243015294772443, 0.6417527049591496, 9.638290236239705, 3.54, 0.947, 25.23
173.94535319, -63.01984158, 0.5955640724400642, 0.681636017293096, 0.9999999999999996, 14.321878992735439, 3.11, -0.044, 7.96
176.40174608, -66.72876272, 0.7274945370218682, 0.778656215935444, 1.0, 8.87156012037961, 3.63, 0.16, 25.42
176.51255835, 47.77940596, 1.0, 0.7636488468486026, 0.513589266773288, 8.394599865193975, 3.69, 1.181, 16.64
177.26490656, 14.57206032, 0.6789698126914026, 0.7443626324043583, 0.9999999999964634, 34.99451670283573, 2.14, 0.09, 90.16
177.67382733, 1.76471793, 1.0, 0.9507090396741797, 0.9688959016624056, 9.204495717531715, 3.59, 0.518, 91.74
178.45769772, 53.69476008, 0.6495641940837594, 0.7226840874184688, 1.0, 27.289777828080403, 2.41, 0.044, 38.99
182.08958257, -50.72242559, 0.55, 0.647, 1.0, 23.33458062281002, 2.58, -0.128, 8.25
182.53116941, -22.61976647, 1.0, 0.7286536851624977, 0.4479163644100621, 15.559656316050742, 3.02, 1.326, 10.75
182.91296303, -52.36846029, 0.55, 0.647, 1.0, 6.486344335482383, 3.97, -0.156, 9.53
183.78631548, -58.74892785, 0.55, 0.647, 1.0, 19.230917289101587, 2.79, -0.193, 8.96
183.85650051, 57.0326169, 0.670505501595611, 0.7382033750784786, 1.0, 11.803206356517299, 3.32, 0.077, 40.05
183.95154259, -17.54192947, 0.5602307040307761, 0.6546967348233056, 0.9999999999999999, 23.33458062281002, 2.58, -0.107, 19.78
184.97648721, -0.66680331, 0.6383373487357311, 0.7134689375591174, 0.999999999999992, 6.982324040771713, 3.89, 0.026, 13.06
185.34003859, -60.4011467, 1.0, 0.7135483036440006, 0.4212582133202959, 9.204495717531715, 3.59, 1.389, 14.3
186.64956584, -63.09909166, 0.55, 0.647, 1.0, 123.59474334445108, 0.77, -0.243, 10.17
187.00992483, -50.23063496, 0.55, 0.647, 1.0, 6.854882264526615, 3.91, -0.192, 7.36
187.4660642, -16.51543255, 0.614473924196518, 0.6963210558740953, 0.9999999999999981, 16.749428760264372, 2.94, -0.012, 37.11
187.79149709, -57.11321169, 0.9999999999999998, 0.6673856027307121, 0.34630643345793244, 58.07644175213121, 1.59, 1.6, 37.09
188.11672818, -72.13298844, 0.55, 0.647, 1.0, 7.311390834834176, 3.84, -0.157, 10.07
188.37060139, 69.78823768, 0.5553915648820166, 0.6507742432163194, 1.0, 7.244359600749901, 3.85, -0.116, 6.55
188.59681092, -23.39675917, 0.9999999999946, 0.8395926849605416, 0.6756993408727221, 21.87761623949553, 2.65, 0.893, 23.34
189.29590999, -69.13556382, 0.55, 0.647, 1.0, 21.086281499332898, 2.69, -0.176, 10.67
189.42568082, -48.54130384, 0.6527929266589898, 0.7248951490682847, 0.9999999999998391, 7.244359600749901, 3.85, 0.049, 24.77
190.37932752, -48.95988844, 0.6080229032453445, 0.6912290730072439, 1.0, 33.11311214825911, 2.2, -0.023, 25.01
190.41517626, -1.44937487, 0.8921986930413977, 0.8901605137036951, 0.9999976596835658, 20.137242498623873, 2.74, 0.368, 84.53
191.57002677, -68.10811913, 0.55, 0.647, 1.0, 15.275660582380723, 3.04, -0.178, 10.48
191.93026305, -59.68876362, 0.55, 0.647, 1.0, 79.43282347242814, 1.25, -0.238, 9.25
193.50728928, 55.95982116, 0.6086274080559543, 0.6917056615694749, 1.0, 49.65923214503363, 1.76, -0.022, 40.3
193.90086578, 3.39747026, 1.0, 0.6734608684866421, 0.355611650590752, 11.066237839776663, 3.39, 1.571, 16.11
194.00694736, 38.3183798, 0.5559836674530505, 0.6512163526920672, 0.9999999999999998, 17.538805018417612, 2.89, -0.115, 29.6
195.54415463, 10.95915037, 1.0, 0.8277445936015728, 0.649666061085452, 18.197008586099834, 2.85, 0.934, 31.9
195.56776386, -71.54885522, 1.0, 0.7614987377181738, 0.5090864258175878, 9.036494737223016, 3.61, 1.19, 35.91
199.73040326, -23.17151233, 1.0, 0.8317531702284114, 0.6583629715798215, 15.995580286146687, 2.99, 0.92, 24.69
200.14924004, -36.71229493, 0.6649982751289792, 0.7334288978371591, 1.0, 19.952623149688797, 2.75, 0.068, 55.64
200.9814288, 54.92536175, 0.6580389207735411, 0.7282379993751493, 0.9999999999996634, 32.210687912834345, 2.23, 0.057, 41.73
201.29824701, -11.16132203, 0.55, 0.647, 1.0, 101.85913880541169, 0.98, -0.235, 12.44
201.30640816, 54.98795767, 0.7340400649404144, 0.7833054233107484, 1.0, 6.367955209079157, 3.99, 0.169, 40.19
202.76106938, -39.40730717, 1.0, 0.7624559158462701, 0.5110809665001935, 6.918309709189366, 3.9, 1.186, 2.6
203.67330011, -0.59582018, 0.6959174286213173, 0.7556301519593269, 1.0, 11.168632477805613, 3.38, 0.114, 44.55
204.97191001, -53.46639378, 0.55, 0.647, 1.0, 30.47894989627983, 2.29, -0.171, 8.68
206.88515682, 49.31326506, 0.5644466839058004, 0.6581089910554506, 0.9999999999999998, 45.708818961487516, 1.85, -0.099, 32.39
207.37615454, -41.68770924, 0.55, 0.647, 1.0, 10.864256236170656, 3.41, -0.225, 6.87
207.40412075, -42.47373178, 0.55, 0.647, 1.0, 10.280162981264736, 3.47, -0.17, 6.19
208.67116138, 18.39771704, 0.9999912103952826, 0.9308490934054299, 0.9123022080879563, 21.28139045982711, 2.68, 0.58, 88.17
208.88494064, -47.28837511, 0.55, 0.647, 1.0, 23.98832919019491, 2.55, -0.176, 8.48
209.56777521, -42.10075343, 0.55, 0.647, 1.0, 7.379042301291009, 3.83, -0.224, 7.01
209.66978489, -44.80358412, 0.55, 0.647, 1.0, 7.11213513653329, 3.87, -0.208, 7.81
210.95585201, -60.37303931, 0.55, 0.647, 1.0, 143.21878992735424, 0.61, -0.231, 6.21
211.09729071, 64.37585051, 0.5927669341064583, 0.6795613960429274, 0.9999999999999998, 8.550667128846834, 3.67, -0.049, 10.56
211.59290444, -26.6823611, 1.0, 0.7861196973393275, 0.5592381167503142, 12.589254117941675, 3.25, 1.091, 32.17
211.67061857, -36.36995445, 1.0, 0.8079098710032908, 0.60308453996125, 37.67037989839089, 2.06, 1.011, 53.52
213.9153001, 19.1824103, 0.9999999999999996, 0.7494036072325007, 0.4859648948832319, 263.02679918953817, -0.05, 1.239, 88.85
214.85092485, -46.05809312, 0.55, 0.647, 1.0, 9.549925860214362, 3.55, -0.184, 9.27
217.95745802, 30.37143717, 1.0, 0.7353158335614606, 0.4601079863049916, 9.375620069258805, 3.57, 1.298, 21.92
218.0194663, 38.30825261, 0.7498781070272339, 0.7948449342102474, 0.9999999993384756, 15.275660582380723, 3.04, 0.191, 38.29
218.87676586, -42.15782447, 0.55, 0.647, 1.0, 29.376496519615305, 2.33, -0.157, 10.57
219.89617026, -60.83715604, 1.0, 0.837618075916458, 0.6711320247604934, 72.44359600749902, 1.35, 0.9, 742.12
219.90206584, -60.83397468, 1.0, 0.8913475456165055, 0.8045889523948614, 253.51286304979072, -0.01, 0.71, 742.12
220.2872992, 13.72830024, 0.6495641940837594, 0.7226840874184688, 1.0, 7.726805850957025, 3.78, 0.044, 18.07
220.48231508, -47.38820014, 0.55, 0.647, 1.0, 30.19951720402016, 2.3, -0.154, 5.95
220.62674745, -64.97513849, 0.799095015305187, 0.8286568829655494, 1.0, 13.427649611378635, 3.18, 0.256, 60.97
220.76509742, -5.65820663, 0.9071651369779701, 0.9002561307134017, 1.0, 7.11213513653329, 3.87, 0.385, 53.54
221.24674043, 27.07422244, 0.9999999999993068, 0.819588268353028, 0.6303149983572158, 28.84031503126606, 2.35, 0.966, 15.55
221.56218374, 1.89288544, 0.6185597184385475, 0.6994114263861139, 1.0, 8.090958991783824, 3.73, -0.005, 25.35
221.96545315, -79.0447507, 1.0, 0.7036057499544313, 0.4043402096449116, 7.379042301291009, 3.83, 1.433, 7.93
